,,,,,,,,,,,,,,
"Progress of PNG D, CNG and Pipeline (inch-km) in the Country - March  2025",,,,,,,,,,,,,,
,,,,,,Actual Progress vis-à-vis MWP Targets as on 31.3.2025,,,,,,,,
S.No,GA ID,Geographical Area/ CGD Networks,State/ Union Territory,Authorized CGD Entity,Date of Authorization,PNG Domestic Connections (Nos.),,,CNG Stations (Nos.),,, Pipeline (inch-Km),,
,,,,,, Total MWP Target,Pro-Rata Target,Achievement, Total MWP Target,Pro-Rata Target,Achievement, Total MWP Target,Pro-Rata Target,Achievement
80,9.23,Giridih & Dhanbad Districts,Jharkhand,GAIL Gas Limited,06-09-2018,50000,10000,12323,30,9,13,650,260,452
,,,,,(New start date,,,,,,,,,
,,,,,01.04.2021),,,,,,,,,
81,9.24,Chitradurga & Davanagere Districts,Karnataka,Unison Enviro Private Limited,25-Sep-18,101000,35350,10522,42,22,23,75,49,45
82,9.25,Udupi District,Karnataka,Adani Total Gas Limited,13-09-2018,110099,22020,0,11,3,11,569,228,473
,,,,,(New start date,,,,,,,,,
,,,,,01.01.2021),,,,,,,,,
83,9.26,Ballari & Gadag Districts,Karnataka,Bharat Petroleum Corporation,24-Sep-18,53850,18848,24185,24,13,36,1365,887,1160
,,,,Limited,,,,,,,,,,
84,9.27,Bidar District,Karnataka,Bharat Petroleum Corporation,10-Aug-18,6200,2170,6221,4,2,17,143,93,286
,,,,Limited,,,,,,,,,,
85,9.28,Dakshina Kannada District,Karnataka,GAIL Gas Limited,28-08-2018,350000,70000,45343,100,30,38,1250,500,352
,,,,,(New start date,,,,,,,,,
,,,,,01.04.2022),,,,,,,,,
86,9.29,Ramanagara District,Karnataka,Maharashtra Natural Gas Limited,28-Sep-18,113115,39590,40089,37,19,17,354,230,247
87,9.3,Kozhikode & Wayanad Districts,Kerala,Indian-Oil Adani Gas Private Limited,14-09-2018,421277,84255,10344,142,43,34,927,371,522
,,,,,(New start date,,,,,,,,,
,,,,,01.01.2021),,,,,,,,,
88,9.31,Malappuram District,Kerala,Indian-Oil Adani Gas Private Limited,27-09-2018,338518,67704,11056,130,39,33,1671,668,459
,,,,,(New start date,,,,,,,,,
,,,,,01.01.2021),,,,,,,,,
,,,,,,,,,,,,,,
"Progress of PNG D, CNG and Pipeline (inch-km) in the Country - March  2025",,,,,,,,,,,,,,
,,,,,,Actual Progress vis-à-vis MWP Targets as on 31.3.2025,,,,,,,,
S.No,GA ID,Geographical Area/ CGD Networks,State/ Union Territory,Authorized CGD Entity,Date of Authorization,PNG Domestic Connections (Nos.),,,CNG Stations (Nos.),,, Pipeline (inch-Km),,
,,,,,, Total MWP Target,Pro-Rata Target,Achievement, Total MWP Target,Pro-Rata Target,Achievement, Total MWP Target,Pro-Rata Target,Achievement
89,9.32,"Kannur, Kasaragod & Mahe Districts",Kerala & Puducherry (UT),Indian-Oil Adani Gas Private Limited,14-09-2018,367176,73435,10945,125,38,29,1103,441,539
,,,,,(New start date,,,,,,,,,
,,,,,01.01.2021),,,,,,,,,
90,9.33,Palakkad & Thrissur Districts,Kerala,Indian-Oil Adani Gas Private Limited,26-09-2018,600000,120000,20837,200,60,56,2126,850,1058
,,,,,(New start date,,,,,,,,,
,,,,,01.01.2021),,,,,,,,,
91,9.34,Bhopal & Rajgarh Districts,Madhya Pradesh,Think Gas Bhopal Private Limited,24-Sep-18,550222,192578,39373,104,55,39,2508,1630,2045
92,9.35,Guna District,Madhya Pradesh,Indian Oil Corporation Limited,06-Sep-18,4900,1715,1764,7,4,6,400,260,263
93,9.36,Rewa District,Madhya Pradesh,Indian Oil Corporation Limited,06-Sep-18,7861,2751,2828,18,9,8,950,618,599
94,9.37,Satna & Shandol Districts,Madhya Pradesh,Bharat Petroleum Corporation,06-Sep-18,15600,5460,8630,8,4,26,196,127,105
,,,,Limited,,,,,,,,,,
95,9.38,Ahmednagar & Aurangabad Districts,Maharashtra,Bharat Petroleum Corporation,28-Sep-18,708100,247835,152628,106,56,108,2109,1371,5393
,,,,Limited,,,,,,,,,,
96,9.39,"Valsad (EAAA), Dhule & Nashik",Maharashtra & Gujarat,Maharashtra Natural Gas Limited,28-Sep-18,937965,328288,220104,156,82,83,2181,1418,1550
,,Districts,,,,,,,,,,,,
97,9.4,Latur & Osmanabad Districts,Maharashtra,Unison Enviro Private Limited,25-Sep-18,9999,3500,3535,30,16,33,10,7,136
98,9.41,Sangli & Satara Districts,Maharashtra,Bharat Petroleum Corporation,28-Sep-18,376700,125567,81364,64,32,71,2112,1338,2999
,,,,Limited,,,,,,,,,,
99,9.42,Sindhudurg District,Maharashtra,Maharashtra Natural Gas Limited,06-Sep-18,25779,9023,9094,25,13,14,759,493,575
100,9.43,Angul & Dhekanal Districts,Odisha,Bharat Petroleum Corporation,10-08-2018,22600,4520,5027,21,6,12,1464,586,1164
,,,,Limited,(New start date,,,,,,,,,
,,,,,01.01.2022),,,,,,,,,
101,9.44,Sundargarh & Jharsuguda Districts,Odisha,GAIL Gas Limited,06-09-2018,100000,20000,13076,20,6,10,500,200,333
,,,,,(New start date,,,,,,,,,
,,,,,01.01.2022),,,,,,,,,
102,9.45,"Balasore, Bhadrak & Mayurbhanj",Odisha,Adani Total Gas Limited,28-09-2018,150464,30093,0,20,6,12,506,202,596
,,Districts,,,(New start date,,,,,,,,,
,,,,,01.01.2022),,,,,,,,,
103,9.46,"Bargarh, Debagarh & Sambalpur",Odisha,Bharat Petroleum Corporation,28-09-2018,13910,2782,7218,11,3,25,650,260,852
,,Districts,,Limited,(New start date,,,,,,,,,
,,,,,01.01.2022),,,,,,,,,
104,9.47,"Ganjam, Nayagarh & Puri Districts",Odisha,GAIL Gas Limited,06-09-2018,51000,10200,7072,15,5,9,650,260,725
,,,,,(New start date,,,,,,,,,
,,,,,01.01.2022),,,,,,,,,
105,9.48,Jagatsinghpur & Kendrapara Districts,Odisha,Bharat Petroleum Corporation,26-09-2018,12550,2510,9067,10,3,6,791,316,710
,,,,Limited,(New start date,,,,,,,,,
,,,,,01.01.2022),,,,,,,,,
106,9.49,Jajpur & Kendujhar Districts,Odisha,Bharat Petroleum Corporation,26-09-2018,18200,3640,9763,19,6,21,2442,977,1621
,,,,Limited,(New start date,,,,,,,,,
,,,,,01.01.2022),,,,,,,,,
